22 июн. 2024 - 19:13:06.158 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 5 migrations (execution time 00:00.020s)
22 июн. 2024 - 19:13:06.167 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": 4
22 июн. 2024 - 19:13:06.169 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "public" is up to date. No migration necessary.
22 июн. 2024 - 19:13:18.505 [http-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
22 июн. 2024 - 19:13:18.506 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
22 июн. 2024 - 19:13:18.507 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
22 июн. 2024 - 19:15:02.332 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
22 июн. 2024 - 19:15:02.334 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
22 июн. 2024 - 19:15:02.337 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
22 июн. 2024 - 19:15:05.497 [main] INFO  o.example.kun_uzz.KunUzzApplication - Starting KunUzzApplication using Java 22.0.1 with PID 11968 (C:\Users\ppmag\OneDrive\Рабочий стол\test\KUN_UZ12\kun_uz_git-master\target\classes started by ppmag in C:\Users\ppmag\OneDrive\Рабочий стол\test\KUN_UZ12)
22 июн. 2024 - 19:15:05.512 [main] INFO  o.example.kun_uzz.KunUzzApplication - No active profile set, falling back to 1 default profile: "default"
22 июн. 2024 - 19:15:06.461 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
22 июн. 2024 - 19:15:06.577 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 104 ms. Found 10 JPA repository interfaces.
22 июн. 2024 - 19:15:06.958 [main] INFO  o.example.kun_uzz.KunUzzApplication - Starting KunUzzApplication using Java 22.0.1 with PID 6336 (C:\Users\ppmag\OneDrive\Рабочий стол\test\KUN_UZ12\kun_uz_git-master\target\classes started by ppmag in C:\Users\ppmag\OneDrive\Рабочий стол\test\KUN_UZ12)
22 июн. 2024 - 19:15:06.970 [main] INFO  o.example.kun_uzz.KunUzzApplication - No active profile set, falling back to 1 default profile: "default"
22 июн. 2024 - 19:15:07.238 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
22 июн. 2024 - 19:15:07.250 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
22 июн. 2024 - 19:15:07.251 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
22 июн. 2024 - 19:15:07.317 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
22 июн. 2024 - 19:15:07.317 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1764 ms
22 июн. 2024 - 19:15:07.437 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
22 июн. 2024 - 19:15:07.494 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
22 июн. 2024 - 19:15:07.527 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
